time,1,2
1,1880,1880
2,1881,1881
3,1882,1882
4,1883,1883
5,1884,1884
6,1885,1885
7,1886,1886
8,1887,1887
9,1888,1888
10,1889,1889
11,1890,1890
12,1891,1891
13,1892,1892
14,1893,1893
15,1894,1894
16,1895,1895
17,1896,1896
18,1897,1897
19,1898,1898
20,1899,1899
21,1900,1900
22,1901,1901
23,1902,1902
24,1903,1903
25,1904,1904
26,1905,1905
27,1906,1906
28,1907,1907
29,1908,1908
30,1909,1909
31,1910,1910
32,1911,1911
33,1912,1912
34,1913,1913
35,1914,1914
36,1915,1915
37,1916,1916
38,1917,1917
39,1918,1918
40,1919,1919
41,1920,1920
42,1921,1921
43,1922,1922
44,1923,1923
45,1924,1924
46,1925,1925
47,1926,1926
48,1927,1927
49,1928,1928
50,1929,1929
51,1930,1930
52,1931,1931
53,1932,1932
54,1933,1933
55,1934,1934
56,1935,1935
57,1936,1936
58,1937,1937
59,1938,1938
60,1939,1939
61,1940,1940
62,1941,1941
63,1942,1942
64,1943,1943
65,1944,1944
66,1945,1945
67,1946,1946
68,1947,1947
69,1948,1948
70,1949,1949
71,1950,1950
72,1951,1951
73,1952,1952
74,1953,1953
75,1954,1954
76,1955,1955
77,1956,1956
78,1957,1957
79,1958,1958
80,1959,1959
81,1960,1960
82,1961,1961
83,1962,1962
84,1963,1963
85,1964,1964
86,1965,1965
87,1966,1966
88,1967,1967
89,1968,1968
90,1969,1969
91,1970,1970
92,1971,1971
93,1972,1972
94,1973,1973
95,1974,1974
96,1975,1975
97,1976,1976
98,1977,1977
99,1978,1978
100,1979,1979
101,1980,1980
102,1981,1981
103,1982,1982
104,1983,1983
105,1984,1984
106,1985,1985
107,1986,1986
108,1987,1987
109,1988,1988
110,1989,1989
111,1990,1990
112,1991,1991
113,1992,1992
114,1993,1993
115,1994,1994
116,1995,1995
117,1996,1996
118,1997,1997
119,1998,1998
120,1999,1999
121,2000,2000
122,2001,2001
123,2002,2002
124,2003,2003
125,2004,2004
126,2005,2005
127,2006,2006
128,2007,2007
129,2008,2008
130,2009,2009
131,2010,2010
132,2011,2011
